user,item,error
3837,1324,0.06499174237251282
1615,217,0.040512919425964355
86,1127,0.03719208389520645
208,59,0.2705579400062561
295,13,0.09458491951227188
13,1737,0.10975764691829681
779,718,2.445002555847168
647,1341,0.07762259989976883
3975,1192,1.2062523365020752
5459,3347,0.0018560381140559912
252,2894,0.030494028702378273
4007,2158,5.764797687530518
4677,1896,0.8816818594932556
77,451,0.2060142606496811
5137,2672,0.17818577587604523
4426,1777,0.1134614497423172
1337,188,2.1479694843292236
226,1806,0.00625811330974102
5517,3313,0.0058395531959831715
209,859,0.11149365454912186
1549,895,0.03297998011112213
2970,547,3.471626043319702
949,3063,0.9392269253730774
5446,3316,0.8045650720596313
56,1235,0.41058430075645447
144,223,0.050558995455503464
1139,2594,1.7758815288543701
4466,2332,3.492176055908203
3227,1569,0.11186015605926514
1236,461,0.22519023716449738
2604,710,0.04073107987642288
786,636,0.02677181549370289
3537,1073,0.0056567019782960415
2819,1480,0.5235244035720825
3363,797,0.06815169751644135
949,3425,0.5297811627388
3978,2714,0.7873837947845459
162,3,0.27129632234573364
1658,1986,0.08275876939296722
1424,2081,0.060393039137125015
9,1594,0.3864922821521759
4173,2505,0.43003562092781067
2391,1547,1.6068655252456665
13,265,0.025399386882781982
587,374,0.1812519133090973
3290,1330,0.0514068678021431
1424,2159,0.019110193476080894
2216,3148,2.006296199397184e-05
91,1747,0.03317093849182129
392,2460,0.01122340653091669
1241,861,0.07607286423444748
193,297,0.1162150502204895
2196,1833,0.21118611097335815
2329,2370,0.39105844497680664
3401,759,0.09567441791296005
220,2488,0.009462475776672363
3444,3163,0.7183763980865479
1984,2024,1.2606480121612549
5001,2273,0.19489799439907074
4548,2306,0.7646198272705078
2299,1199,0.06212814524769783
1693,908,0.26235848665237427
2051,424,0.04566149786114693
316,1230,0.38110437989234924
1871,1483,4.583790302276611
3906,3350,0.10086385905742645
4479,1863,0.00023140673874877393
2157,3453,0.10473813861608505
5372,3466,0.001863852608948946
333,2234,0.5243261456489563
625,1603,0.17375683784484863
97,673,0.08223914355039597
3031,1914,1.0223941802978516
1081,1118,1.9120701551437378
593,381,0.18486827611923218
501,3543,0.00488218292593956
208,1404,0.21672876179218292
2663,499,0.00012693334429059178
18,2947,0.5672043561935425
1706,197,0.01535781193524599
3924,2654,0.03167787939310074
3830,2658,0.3421865403652191
1649,2978,0.08236007392406464
