user,item,error
2645,432,0.0026028119027614594
260,506,0.0
193,178,0.001855011098086834
4173,2629,0.0
392,1530,5.451380638987757e-05
4990,2265,0.005205587018281221
4122,2124,0.00033109827199950814
2180,3150,0.0
3042,2578,1.526996675238479e-05
687,301,8.864739356795326e-06
1343,1735,0.00013201707042753696
1277,494,0.00010657515667844564
430,764,0.001688153948634863
1770,1515,0.001408389420248568
1150,1702,3.387004471733235e-05
418,2648,0.0047229439951479435
1236,2383,0.005461384076625109
1872,2812,0.0
408,2769,0.0
525,1468,0.00011053962225560099
4937,2454,1.9086255633737892e-05
1074,732,0.0012829020852223039
1372,432,0.02194177359342575
2161,871,3.211456350982189e-05
1480,1565,0.0004107516724616289
815,141,7.44405115256086e-05
826,859,0.001097292173653841
4116,2164,0.00852464884519577
3943,1159,7.922992517706007e-05
5387,3342,0.1052941158413887
2293,1198,0.0
3118,2025,0.0006347701419144869
252,1747,0.002197936177253723
949,3545,0.1357165277004242
765,724,4.248285404173657e-05
3869,1827,1.7705337995721493e-06
1614,240,0.0
1352,784,0.0005790562136098742
4153,1376,0.0
5392,3104,0.13990138471126556
1892,2231,0.0
1526,1210,0.0
1999,725,0.003081259084865451
5197,3263,0.006801251787692308
5294,3260,0.0002838259097188711
775,75,5.121481990499888e-06
3581,3296,0.0
380,1846,0.0019769088830798864
4895,2149,1.2846905974583933e-06
1202,2208,0.0004697380354627967
4980,2468,0.0
662,2096,8.368811541004106e-05
4393,1673,0.0
3249,652,0.0011330232955515385
516,2236,0.00032833623117767274
699,875,0.0002283846406498924
266,1453,7.373456901405007e-05
4374,2459,1.9337057892698795e-05
2966,588,0.0
4900,2939,0.0
801,1819,0.037813637405633926
1950,1902,0.0002984371385537088
4793,2124,0.0009924666956067085
1445,2050,0.0
257,3077,0.0003436043334659189
3428,1790,0.00915493629872799
0,3183,0.0011848029680550098
889,628,0.0
1343,2847,0.005263960920274258
406,869,0.015409502200782299
790,2175,0.006462778430432081
1236,1305,0.0
3071,2917,2.056607627309859e-06
4133,1376,0.0007665739976800978
1756,1324,0.0002472948981449008
3238,648,0.0
52,1325,0.00012918346328660846
5459,3267,4.354613338364288e-05
4024,2778,0.0001936289481818676
5039,2513,0.015800248831510544
2503,3450,0.8383963704109192
3089,1776,0.0028592082671821117
1497,1199,0.007359541952610016
953,469,0.0
1317,2233,0.0
2161,845,0.003924869000911713
4753,2212,0.0
4808,2164,0.0020406581461429596
1170,2249,0.00010783907782752067
231,1267,0.00018052181985694915
100,1308,0.003605717560276389
2359,927,0.0
2737,2350,4.8112269723787904e-08
4988,2825,2.478227543178946e-07
2456,861,0.0
649,1699,6.392970681190491e-05
1875,258,0.0
514,1786,3.7200534279691055e-05
3728,2043,0.00018985220231115818
138,1215,0.009972629137337208
317,84,0.0005358216585591435
5139,2887,0.5568366050720215
18,1921,0.0
2211,1282,4.566055577015504e-05
4844,2115,0.0013367250794544816
2127,752,3.2867439585970715e-05
3669,3222,0.00033698961487971246
1388,2432,0.0
496,930,0.0
4040,2202,2.2346796413330594e-08
354,1865,0.00020226940978318453
2295,3182,6.707794454996474e-06
70,271,0.0
367,1213,0.001056794309988618
2317,1528,0.0
2838,527,0.0003187899710610509
86,3190,0.004194008186459541
2072,293,0.0
3504,2605,0.0003878759453073144
354,2848,0.0
4012,2338,0.0009153265273198485
3450,2173,0.0022799710277467966
2541,2072,0.000652358285151422
699,2154,4.308167831368337e-07
758,2464,0.009426654316484928
638,3092,0.001447425689548254
892,1990,0.0
2331,2693,0.0
1690,2581,6.992396083660424e-05
422,2010,6.210523861227557e-05
299,13,0.0011512977071106434
2451,628,0.0
3103,1092,0.0
396,1672,0.0
132,1473,0.006033680867403746
143,761,0.014244867488741875
838,245,2.5149185603368096e-05
2085,275,5.553602386498824e-05
3032,2280,0.01008676178753376
2177,1918,2.105445901179337e-06
