user,item,error
87,1538,0.21855734288692474
2493,2847,0.7243459820747375
323,1831,0.47611522674560547
185,1925,0.25142204761505127
2130,786,0.009106865152716637
694,2026,3.8440940380096436
2504,664,0.012296149507164955
4862,2405,0.010642851702868938
218,1997,1.24140202999115
359,2403,0.0
216,1579,0.2647535800933838
1421,2413,0.008778783492743969
2894,669,1.5943223843351007e-06
1322,1942,0.06721757352352142
915,2072,1.0442906618118286
2593,1613,0.17048639059066772
3721,1603,0.33583375811576843
480,2159,1.7492098808288574
414,3150,0.16250614821910858
378,1147,0.06990433484315872
2924,1688,0.0026204546447843313
2794,1077,0.4271944761276245
3066,1341,2.3736358798487345e-06
1948,1132,0.0
2153,2693,0.39646047353744507
2241,321,0.8889267444610596
184,813,0.8099838495254517
12,3005,0.052316632121801376
97,2266,1.215096116065979
2001,1840,3.677134736790322e-05
5045,3365,1.161927342414856
158,706,0.06160841882228851
5213,2946,0.11174822598695755
2294,540,0.06167447939515114
534,1690,0.05000022426247597
906,2647,0.10552448034286499
3606,3136,0.17096436023712158
2651,2265,0.4144677221775055
1411,1891,0.08797232806682587
3519,2271,0.559065043926239
271,876,0.15904895961284637
307,1488,0.7882527112960815
1657,2799,0.7007555961608887
3458,1971,0.005341810639947653
1042,2155,0.06915120035409927
526,1337,0.04256746917963028
824,142,0.12181197106838226
277,555,0.35547545552253723
5283,2837,0.6230937838554382
129,2092,3.5010247230529785
4954,2519,0.022089360281825066
2179,3414,0.44603702425956726
969,580,0.2759431302547455
1181,1618,0.07798010855913162
2597,3443,0.00011312643619021401
2011,2870,0.11259657144546509
1876,479,0.07436884194612503
367,1205,0.07656052708625793
2377,2919,0.007019935641437769
1135,1966,0.05487622320652008
1240,672,0.04121541604399681
3971,2338,0.37419241666793823
2750,836,4.4068498611450195
4014,1528,0.3977104425430298
1211,1531,0.2676635682582855
1428,168,0.07800248265266418
354,2487,0.07934731245040894
790,553,0.045933857560157776
2182,1791,6.250481605529785
2718,2255,2.159062623977661
722,2883,0.5663528442382812
231,387,0.3038371205329895
4662,2344,0.0
2211,1534,0.0
5291,2884,0.014348291791975498
3776,2192,3.376736879348755
2295,3138,0.0
1838,325,0.6774160265922546
5112,2603,0.034592051059007645
249,666,0.1785091906785965
658,1896,0.3348512649536133
601,927,0.0
1526,2350,0.7106766104698181
2354,2226,0.003198849270120263
389,2475,0.25079599022865295
4813,3084,0.011606452986598015
16,781,0.5329647660255432
3600,2234,0.26972496509552
77,2479,0.11831359565258026
5017,2882,0.08112356066703796
260,2315,0.2174641638994217
600,2625,8.671231269836426
925,91,0.0
3331,2465,1.7773815393447876
3602,2119,0.00028775972896255553
895,289,0.17036394774913788
565,643,0.5362455248832703
438,1991,0.13498708605766296
399,1481,0.1472274363040924
796,2672,0.051192376762628555
5409,3272,0.001722059678286314
279,1414,0.0011775103630498052
2413,1197,0.022251524031162262
4274,1588,0.69542396068573
2100,648,0.0
755,2173,1.552266001701355
592,1023,0.029673440381884575
4756,2144,0.0008433065377175808
4747,2080,0.023083694279193878
162,218,1.6451776027679443
3930,2418,1.2837730646133423
833,1572,0.8047293424606323
1140,3078,0.4383171498775482
564,1672,2.813943862915039
106,2350,0.0035469464492052794
4844,2144,0.8267707228660583
1007,1735,0.07626257091760635
5002,2548,0.21206310391426086
468,2536,0.5687025189399719
4902,2399,0.02404458075761795
2268,327,3.4323770999908447
1851,2045,0.0
232,276,0.08288886398077011
4543,1860,0.32544293999671936
2427,2530,1.0078455209732056
536,2500,0.3618149161338806
573,1318,0.3174569308757782
907,258,0.00889092218130827
4472,1690,1.7888222932815552
1807,416,0.019603300839662552
192,768,0.025154517963528633
1530,2545,0.06598184257745743
959,166,0.003072054823860526
4505,1720,0.04828185960650444
2890,789,0.0
